"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 23 10:53:57 EET 2022","Fri Dec 23 10:54:00 EET 2022","2863","Google Chrome","positive.spec.ts","Test Suit #1. Positive tests","","","7. Search input check",""
"passed","Fri Dec 23 10:53:52 EET 2022","Fri Dec 23 10:53:58 EET 2022","5402","Google Chrome","negative.spec.ts","Test Suit #2. Negative tests","","","5. Logo check",""
"passed","Fri Dec 23 10:53:57 EET 2022","Fri Dec 23 10:54:00 EET 2022","2850","Google Chrome","positive.spec.ts","Test Suit #1. Positive tests","","","6. Search text check",""
"passed","Fri Dec 23 10:53:55 EET 2022","Fri Dec 23 10:53:58 EET 2022","3030","Google Chrome","positive.spec.ts","Test Suit #1. Positive tests","","","2. Weather check",""
"passed","Fri Dec 23 10:53:57 EET 2022","Fri Dec 23 10:54:00 EET 2022","2646","Google Chrome","positive.spec.ts","Test Suit #1. Positive tests","","","5. Logo check",""
"passed","Fri Dec 23 10:53:52 EET 2022","Fri Dec 23 10:53:55 EET 2022","2678","Google Chrome","positive.spec.ts","Test Suit #1. Positive tests","","","1. URL check",""
"passed","Fri Dec 23 10:53:57 EET 2022","Fri Dec 23 10:54:00 EET 2022","2717","Google Chrome","positive.spec.ts","Test Suit #1. Positive tests","","","4. Age check",""
"passed","Fri Dec 23 10:53:52 EET 2022","Fri Dec 23 10:53:57 EET 2022","4952","Google Chrome","negative.spec.ts","Test Suit #2. Negative tests","","","3. Currency check",""
"passed","Fri Dec 23 10:53:52 EET 2022","Fri Dec 23 10:53:57 EET 2022","5404","Google Chrome","negative.spec.ts","Test Suit #2. Negative tests","","","4. Age check",""
"passed","Fri Dec 23 10:53:52 EET 2022","Fri Dec 23 10:53:57 EET 2022","5071","Google Chrome","negative.spec.ts","Test Suit #2. Negative tests","","","2. Weather check",""
"passed","Fri Dec 23 10:53:52 EET 2022","Fri Dec 23 10:53:57 EET 2022","5023","Google Chrome","negative.spec.ts","Test Suit #2. Negative tests","","","6. Search text check",""
"passed","Fri Dec 23 10:53:52 EET 2022","Fri Dec 23 10:53:57 EET 2022","5208","Google Chrome","negative.spec.ts","Test Suit #2. Negative tests","","","1. URL check",""
"passed","Fri Dec 23 10:53:52 EET 2022","Fri Dec 23 10:53:58 EET 2022","5750","Google Chrome","negative.spec.ts","Test Suit #2. Negative tests","","","7. Search input check",""
"passed","Fri Dec 23 10:53:57 EET 2022","Fri Dec 23 10:54:00 EET 2022","2919","Google Chrome","positive.spec.ts","Test Suit #1. Positive tests","","","3. Currency check",""
